id_sun_r,nilai_sun_r
SR1495,0.2
SR1496,0.5
SR1497,0.4
SR1498,0.5
SR1499,0.5
SR1500,0.5
SR1501,0.7
SR1502,0.7
SR1503,0.6
SR1504,0.6
SR1505,0.5
SR1506,0.8
SR1507,0.9
SR1508,0.8
SR1509,0.5
SR1510,0.5
SR1511,0.7
SR1512,0.6
SR1513,0.5
SR1514,0.6
SR1515,0.5
SR1516,0.5
SR1517,0.4
SR1518,1
SR1519,0.6
SR1520,0.8
SR1521,0.7
SR1522,0.7
SR1523,0.8
SR1524,0.6
SR1525,0.7
SR1526,0.6
SR1527,0.6
SR1528,0.7
SR1529,0.6
SR1530,0.8
SR1531,0.5
SR1532,0.7
SR1533,0.6
SR1534,0.8
SR1535,0.7
SR1536,0.6
SR1537,0.8
SR1538,0.7
SR1539,0.6
SR1540,0.7
SR1541,1.6
SR1542,6.5
SR1543,20.5
SR1544,51.5
SR1545,90.8
SR1546,144.8
SR1547,195.9
SR1548,237.9
SR1549,271.1
SR1550,306
SR1551,345.2
SR1552,396.9
SR1553,454.4
SR1554,516.7
SR1555,491.3
SR1556,444.9
SR1557,562.9
SR1558,347.5
SR1559,311.4
SR1560,642.9
SR1561,524.9
SR1562,481.8
SR1563,292.4
SR1564,576.5
SR1565,743.7
SR1566,707.2
SR1567,791.7
SR1568,556.1
SR1569,855.1
SR1570,956.4
SR1571,619.4
SR1572,626.1
SR1573,468.1
SR1574,951.2
SR1575,512.9
SR1576,1090.8
SR1577,514.8
SR1578,1099.5
SR1579,928.8
SR1580,546.9
SR1581,353.7
SR1582,375.5
SR1583,538.8
SR1584,808.7
SR1585,726.1
SR1586,595
SR1587,685.9
SR1588,791.4
SR1589,971.4
SR1590,494.1
SR1591,268.3
SR1592,664.3
SR1593,571.2
SR1594,161.5
SR1595,381.6
SR1596,339.6
SR1597,251.1
SR1598,303.7
SR1599,159.7
SR1600,217.9
SR1601,330.3
SR1602,156.6
SR1603,137.2
SR1604,95.8
SR1605,125.3
SR1606,156.3
SR1607,96.9
SR1608,94.5
SR1609,80.2
SR1610,49.9
